,,,Bilingual,,SpED,,Free/Reduced Lunch,
School Year,School ID,Total,N,%,N,%,N,%
2015,610234,601,164,27.29%,163,27.12%,586,97.50%
2015,609695,"1,132",138,12.19%,159,14.05%,"1,056",93.29%
2015,610350,469,3,0.64%,32,6.82%,401,85.50%
2015,609929,497,140,28.17%,55,11.07%,492,98.99%
2015,609979,"1,396",338,24.21%,93,6.66%,"1,253",89.76%
2015,609956,477,172,36.06%,53,11.11%,414,86.79%
2015,610391,"1,175",14,1.19%,57,4.85%,793,67.49%
2015,610252,432,5,1.16%,119,27.55%,426,98.61%
2015,609759,733,78,10.64%,166,22.65%,706,96.32%
2015,610029,262,131,50.00%,67,25.57%,246,93.89%
2015,609733,574,177,30.84%,123,21.43%,544,94.77%
2015,610091,312,0,0.00%,45,14.42%,300,96.15%
2015,610282,385,12,3.12%,85,22.08%,379,98.44%
2015,609826,576,147,25.52%,84,14.58%,571,99.13%
2015,610056,422,0,0.00%,57,13.51%,419,99.29%
2015,400096,692,197,28.47%,59,8.53%,590,85.26%
2015,610027,370,2,0.54%,62,16.76%,329,88.92%
2015,610250,374,154,41.18%,70,18.72%,311,83.16%
2015,609995,561,137,24.42%,81,14.44%,375,66.84%
2015,609853,469,206,43.92%,86,18.34%,455,97.01%
2015,610558,645,23,3.57%,99,15.35%,563,87.29%
2015,610155,574,99,17.25%,61,10.63%,198,34.49%
2015,609805,460,0,0.00%,67,14.57%,452,98.26%
2015,609968,730,260,35.62%,90,12.33%,716,98.08%
2015,610157,"1,808",675,37.33%,116,6.42%,"1,766",97.68%
2015,609750,70,2,2.86%,14,20.00%,70,100.00%
2015,610521,300,1,0.33%,30,10.00%,290,96.67%
2015,610534,418,0,0.00%,21,5.02%,74,17.70%
2015,610226,"1,145",524,45.76%,77,6.72%,"1,115",97.38%
2015,609990,908,73,8.04%,38,4.19%,305,33.59%
2015,610530,486,1,0.21%,85,17.49%,435,89.51%
2015,610547,669,0,0.00%,68,10.16%,594,88.79%
2015,609745,206,18,8.74%,206,100.00%,195,94.66%
2015,610183,800,1,0.13%,97,12.13%,794,99.25%
2015,610357,183,43,23.50%,31,16.94%,180,98.36%
2015,610548,392,66,16.84%,18,4.59%,169,43.11%
2015,609880,289,3,1.04%,17,5.88%,41,14.19%
2015,609933,400,91,22.75%,64,16.00%,389,97.25%
2015,609976,"1,006",431,42.84%,112,11.13%,917,91.15%
2015,609724,"1,579",333,21.09%,170,10.77%,"1,437",91.01%
2015,610191,629,102,16.22%,64,10.17%,333,52.94%
2015,610405,419,22,5.25%,43,10.26%,254,60.62%
2015,610249,442,193,43.67%,62,14.03%,420,95.02%
2015,610396,"1,034",308,29.79%,99,9.57%,"1,002",96.91%
2015,610506,378,0,0.00%,81,21.43%,370,97.88%
2015,609921,312,206,66.03%,57,18.27%,297,95.19%
2015,400116,258,1,0.39%,31,12.02%,249,96.51%
2015,609991,589,3,0.51%,68,11.54%,539,91.51%
2015,609728,"1,357",293,21.59%,229,16.88%,"1,311",96.61%
2015,610178,210,0,0.00%,44,20.95%,202,96.19%
2015,609794,277,4,1.44%,13,4.69%,42,15.16%
2015,609987,262,6,2.29%,46,17.56%,253,96.56%
2015,609851,365,2,0.55%,46,12.60%,363,99.45%
